split,image_id,source_image_path,image_path,label_path,image_height,image_width,true_instances,converted_polygons,dropped_instances,fallback_polygons,min_polygon_points,median_polygon_points,max_polygon_points
train,14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf/images/14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf.png,results/supervised/yolo_fixed_budget/images/14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf.png,results/supervised/yolo_fixed_budget/labels/14cc1424c59808274e123db51292e9dbb5b037ef3e7c767a8c45c9ac733b91bf.txt,360,360,21,21,0,0,3,15.0,20
train,16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368/images/16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368.png,results/supervised/yolo_fixed_budget/images/16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368.png,results/supervised/yolo_fixed_budget/labels/16c3d5935ba94b720becc24b7a05741c26149e221e3401924080f41e2f891368.txt,256,256,11,11,0,0,4,7.0,11
train,19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a/images/19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a.png,results/supervised/yolo_fixed_budget/images/19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a.png,results/supervised/yolo_fixed_budget/labels/19f0653c33982a416feed56e5d1ce6849fd83314fd19dfa1c5b23c6b66e9868a.txt,260,347,70,70,0,0,4,9.0,44
train,1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5/images/1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5.png,results/supervised/yolo_fixed_budget/images/1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5.png,results/supervised/yolo_fixed_budget/labels/1b518cd2ea84a389c267662840f3d902d0129fab27696215db2488de6d4316c5.txt,520,696,76,76,0,0,5,13.0,17
train,1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180/images/1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180.png,results/supervised/yolo_fixed_budget/images/1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180.png,results/supervised/yolo_fixed_budget/labels/1c8b905c9519061d6d091e702b45274f4485c80dcf7fb1491e6b2723f5002180.txt,520,696,136,136,0,0,5,12.0,19
train,1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e/images/1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e.png,results/supervised/yolo_fixed_budget/images/1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e.png,results/supervised/yolo_fixed_budget/labels/1e61ecf354cb93a62a9561db87a53985fb54e001444f98112ed0fc623fad793e.txt,256,256,6,6,0,0,5,9.0,11
train,1f6b7cead15344593b32d5f2345fc26713dc74d9b31306c824209d67da401fd8,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/1f6b7cead15344593b32d5f2345fc26713dc74d9b31306c824209d67da401fd8/images/1f6b7cead15344593b32d5f2345fc26713dc74d9b31306c824209d67da401fd8.png,results/supervised/yolo_fixed_budget/images/1f6b7cead15344593b32d5f2345fc26713dc74d9b31306c824209d67da401fd8.png,results/supervised/yolo_fixed_budget/labels/1f6b7cead15344593b32d5f2345fc26713dc74d9b31306c824209d67da401fd8.txt,520,696,146,146,0,0,3,12.0,21
train,20e209f6ffa120a72712e1b4c1d3e24d1339227e2936abd4bbd49a636fada423,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/20e209f6ffa120a72712e1b4c1d3e24d1339227e2936abd4bbd49a636fada423/images/20e209f6ffa120a72712e1b4c1d3e24d1339227e2936abd4bbd49a636fada423.png,results/supervised/yolo_fixed_budget/images/20e209f6ffa120a72712e1b4c1d3e24d1339227e2936abd4bbd49a636fada423.png,results/supervised/yolo_fixed_budget/labels/20e209f6ffa120a72712e1b4c1d3e24d1339227e2936abd4bbd49a636fada423.txt,512,640,31,31,0,0,5,13.0,25
train,2255d5aba044256bb92f6b7cbed0fca46d972c7b6b1a59dcbe7f682c5777d074,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/2255d5aba044256bb92f6b7cbed0fca46d972c7b6b1a59dcbe7f682c5777d074/images/2255d5aba044256bb92f6b7cbed0fca46d972c7b6b1a59dcbe7f682c5777d074.png,results/supervised/yolo_fixed_budget/images/2255d5aba044256bb92f6b7cbed0fca46d972c7b6b1a59dcbe7f682c5777d074.png,results/supervised/yolo_fixed_budget/labels/2255d5aba044256bb92f6b7cbed0fca46d972c7b6b1a59dcbe7f682c5777d074.txt,256,320,15,15,0,0,5,9.0,18
train,245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183/images/245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183.png,results/supervised/yolo_fixed_budget/images/245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183.png,results/supervised/yolo_fixed_budget/labels/245b995878370ef4ea977568b2b67f93d4ecaa9308761b9d3e148e0803780183.txt,256,256,54,54,0,0,4,11.0,24
train,295ac4ecf2ee0211c065cf5dbb93b1eb8e61347153447209cd110e9c3e355e81,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/295ac4ecf2ee0211c065cf5dbb93b1eb8e61347153447209cd110e9c3e355e81/images/295ac4ecf2ee0211c065cf5dbb93b1eb8e61347153447209cd110e9c3e355e81.png,results/supervised/yolo_fixed_budget/images/295ac4ecf2ee0211c065cf5dbb93b1eb8e61347153447209cd110e9c3e355e81.png,results/supervised/yolo_fixed_budget/labels/295ac4ecf2ee0211c065cf5dbb93b1eb8e61347153447209cd110e9c3e355e81.txt,360,360,18,18,0,0,8,14.5,23
train,2a2032c4ed78f3fc64de7e5efd0bec26a81680b07404eaa54a1744b7ab3f8365,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/2a2032c4ed78f3fc64de7e5efd0bec26a81680b07404eaa54a1744b7ab3f8365/images/2a2032c4ed78f3fc64de7e5efd0bec26a81680b07404eaa54a1744b7ab3f8365.png,results/supervised/yolo_fixed_budget/images/2a2032c4ed78f3fc64de7e5efd0bec26a81680b07404eaa54a1744b7ab3f8365.png,results/supervised/yolo_fixed_budget/labels/2a2032c4ed78f3fc64de7e5efd0bec26a81680b07404eaa54a1744b7ab3f8365.txt,360,360,22,22,0,0,4,10.0,23
train,2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177/images/2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177.png,results/supervised/yolo_fixed_budget/images/2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177.png,results/supervised/yolo_fixed_budget/labels/2bf594e9d06f78b4b79d7ffb395497a0a91126b6b0d710d7a9cee21f5c3bd177.txt,256,256,23,23,0,0,3,11.0,19
train,2d53d7ec0c579fffd6710c956288537d46c719a93c6a04ac0d6550f75a6a6493,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/2d53d7ec0c579fffd6710c956288537d46c719a93c6a04ac0d6550f75a6a6493/images/2d53d7ec0c579fffd6710c956288537d46c719a93c6a04ac0d6550f75a6a6493.png,results/supervised/yolo_fixed_budget/images/2d53d7ec0c579fffd6710c956288537d46c719a93c6a04ac0d6550f75a6a6493.png,results/supervised/yolo_fixed_budget/labels/2d53d7ec0c579fffd6710c956288537d46c719a93c6a04ac0d6550f75a6a6493.txt,520,696,7,7,0,0,8,15.0,18
train,2e2d29fc44444a85049b162eb359a523dec108ccd5bd75022b25547491abf0c7,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/2e2d29fc44444a85049b162eb359a523dec108ccd5bd75022b25547491abf0c7/images/2e2d29fc44444a85049b162eb359a523dec108ccd5bd75022b25547491abf0c7.png,results/supervised/yolo_fixed_budget/images/2e2d29fc44444a85049b162eb359a523dec108ccd5bd75022b25547491abf0c7.png,results/supervised/yolo_fixed_budget/labels/2e2d29fc44444a85049b162eb359a523dec108ccd5bd75022b25547491abf0c7.txt,256,320,23,23,0,0,4,13.0,25
train,30f65741053db713b3f328d31d3234b6fedbe31df65c1a8ea29be28146cab789,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/30f65741053db713b3f328d31d3234b6fedbe31df65c1a8ea29be28146cab789/images/30f65741053db713b3f328d31d3234b6fedbe31df65c1a8ea29be28146cab789.png,results/supervised/yolo_fixed_budget/images/30f65741053db713b3f328d31d3234b6fedbe31df65c1a8ea29be28146cab789.png,results/supervised/yolo_fixed_budget/labels/30f65741053db713b3f328d31d3234b6fedbe31df65c1a8ea29be28146cab789.txt,256,256,28,28,0,0,4,10.0,13
train,33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731/images/33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731.png,results/supervised/yolo_fixed_budget/images/33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731.png,results/supervised/yolo_fixed_budget/labels/33a5b0ff232b425796ee6a9dd5b516ff9aad54ca723b4ec490bf5cd9b2e2a731.txt,256,320,23,23,0,0,7,12.0,23
train,351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c/images/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c.png,results/supervised/yolo_fixed_budget/images/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c.png,results/supervised/yolo_fixed_budget/labels/351771edfc5db5665ded8aa4940257276b6526663c76e3b60b92a52584d8943c.txt,520,696,106,106,0,0,3,12.0,21
train,35ca5f142a7d7a3e4b59f1a767a31f87cb00d66348226bc64094ee3d1e46531c,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/35ca5f142a7d7a3e4b59f1a767a31f87cb00d66348226bc64094ee3d1e46531c/images/35ca5f142a7d7a3e4b59f1a767a31f87cb00d66348226bc64094ee3d1e46531c.png,results/supervised/yolo_fixed_budget/images/35ca5f142a7d7a3e4b59f1a767a31f87cb00d66348226bc64094ee3d1e46531c.png,results/supervised/yolo_fixed_budget/labels/35ca5f142a7d7a3e4b59f1a767a31f87cb00d66348226bc64094ee3d1e46531c.txt,256,256,51,51,0,0,4,10.0,20
train,3934a094e8537841e973342c7f8880606f7a2712b14930340d6f6c2afe178c25,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/3934a094e8537841e973342c7f8880606f7a2712b14930340d6f6c2afe178c25/images/3934a094e8537841e973342c7f8880606f7a2712b14930340d6f6c2afe178c25.png,results/supervised/yolo_fixed_budget/images/3934a094e8537841e973342c7f8880606f7a2712b14930340d6f6c2afe178c25.png,results/supervised/yolo_fixed_budget/labels/3934a094e8537841e973342c7f8880606f7a2712b14930340d6f6c2afe178c25.txt,256,320,65,65,0,0,3,10.0,13
train,3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd/images/3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd.png,results/supervised/yolo_fixed_budget/images/3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd.png,results/supervised/yolo_fixed_budget/labels/3b3f516ebc9a16cff287a5ffd3a1861a345a6d38bedbba74f1c0b0e0eac62afd.txt,256,256,40,40,0,0,4,11.0,17
train,3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b/images/3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b.png,results/supervised/yolo_fixed_budget/images/3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b.png,results/supervised/yolo_fixed_budget/labels/3bfd6bb152310f93daa6f4e1867c10572946e874b3a30c9ba8e0fcdeb590300b.txt,256,256,32,32,0,0,4,9.0,14
train,40946065f7e4b6038599fbfd419f2a67e7635b6f89db3ed6c0d67c8801521af1,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/40946065f7e4b6038599fbfd419f2a67e7635b6f89db3ed6c0d67c8801521af1/images/40946065f7e4b6038599fbfd419f2a67e7635b6f89db3ed6c0d67c8801521af1.png,results/supervised/yolo_fixed_budget/images/40946065f7e4b6038599fbfd419f2a67e7635b6f89db3ed6c0d67c8801521af1.png,results/supervised/yolo_fixed_budget/labels/40946065f7e4b6038599fbfd419f2a67e7635b6f89db3ed6c0d67c8801521af1.txt,256,320,15,15,0,0,4,8.0,19
train,4217e25defac94ff465157d53f5a24b8a14045b763d8606ec4a97d71d99ee381,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/4217e25defac94ff465157d53f5a24b8a14045b763d8606ec4a97d71d99ee381/images/4217e25defac94ff465157d53f5a24b8a14045b763d8606ec4a97d71d99ee381.png,results/supervised/yolo_fixed_budget/images/4217e25defac94ff465157d53f5a24b8a14045b763d8606ec4a97d71d99ee381.png,results/supervised/yolo_fixed_budget/labels/4217e25defac94ff465157d53f5a24b8a14045b763d8606ec4a97d71d99ee381.txt,1024,1024,132,132,0,0,5,8.0,19
train,449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51/images/449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51.png,results/supervised/yolo_fixed_budget/images/449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51.png,results/supervised/yolo_fixed_budget/labels/449a9c32e53a37c8a86e01c199155c8da3958b631088e10f6fe43c2119defe51.txt,520,696,58,58,0,0,5,15.0,28
train,45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3/images/45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3.png,results/supervised/yolo_fixed_budget/images/45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3.png,results/supervised/yolo_fixed_budget/labels/45c3bdef1819ba7029990e159f61543ed25781d13fb4dc5d4de52e803debd7d3.txt,520,696,8,8,0,0,4,11.5,19
train,4948e3dfe0483c2198b9616612071ead5474dffd223071cf0a567aea9aca0b9e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/4948e3dfe0483c2198b9616612071ead5474dffd223071cf0a567aea9aca0b9e/images/4948e3dfe0483c2198b9616612071ead5474dffd223071cf0a567aea9aca0b9e.png,results/supervised/yolo_fixed_budget/images/4948e3dfe0483c2198b9616612071ead5474dffd223071cf0a567aea9aca0b9e.png,results/supervised/yolo_fixed_budget/labels/4948e3dfe0483c2198b9616612071ead5474dffd223071cf0a567aea9aca0b9e.txt,360,360,22,22,0,0,3,17.0,23
train,4bf6a5ec42032bb8dbbb10d25fdc5211b2fe1ce44b6e577ef89dbda17697d819,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/4bf6a5ec42032bb8dbbb10d25fdc5211b2fe1ce44b6e577ef89dbda17697d819/images/4bf6a5ec42032bb8dbbb10d25fdc5211b2fe1ce44b6e577ef89dbda17697d819.png,results/supervised/yolo_fixed_budget/images/4bf6a5ec42032bb8dbbb10d25fdc5211b2fe1ce44b6e577ef89dbda17697d819.png,results/supervised/yolo_fixed_budget/labels/4bf6a5ec42032bb8dbbb10d25fdc5211b2fe1ce44b6e577ef89dbda17697d819.txt,256,256,22,22,0,0,4,8.0,12
train,4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607/images/4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.png,results/supervised/yolo_fixed_budget/images/4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.png,results/supervised/yolo_fixed_budget/labels/4d14a3629b6af6de86d850be236b833a7bfcbf6d8665fd73c6dc339e06c14607.txt,256,320,98,98,0,0,3,10.0,20
train,4dbbb275960ab9e4ec2c66c8d3000f7c70c8dce5112df591b95db84e25efa6e9,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/4dbbb275960ab9e4ec2c66c8d3000f7c70c8dce5112df591b95db84e25efa6e9/images/4dbbb275960ab9e4ec2c66c8d3000f7c70c8dce5112df591b95db84e25efa6e9.png,results/supervised/yolo_fixed_budget/images/4dbbb275960ab9e4ec2c66c8d3000f7c70c8dce5112df591b95db84e25efa6e9.png,results/supervised/yolo_fixed_budget/labels/4dbbb275960ab9e4ec2c66c8d3000f7c70c8dce5112df591b95db84e25efa6e9.txt,520,696,183,183,0,1,3,11.0,16
train,4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e/images/4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e.png,results/supervised/yolo_fixed_budget/images/4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e.png,results/supervised/yolo_fixed_budget/labels/4ff152d76db095f75c664dd48e41e8c9953fd0e784535883916383165e28a08e.txt,256,256,6,6,0,0,8,9.0,10
train,52a6b8ae4c8e0a8a07a31b8e3f401d8811bf1942969c198e51dfcbd98520aa60,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/52a6b8ae4c8e0a8a07a31b8e3f401d8811bf1942969c198e51dfcbd98520aa60/images/52a6b8ae4c8e0a8a07a31b8e3f401d8811bf1942969c198e51dfcbd98520aa60.png,results/supervised/yolo_fixed_budget/images/52a6b8ae4c8e0a8a07a31b8e3f401d8811bf1942969c198e51dfcbd98520aa60.png,results/supervised/yolo_fixed_budget/labels/52a6b8ae4c8e0a8a07a31b8e3f401d8811bf1942969c198e51dfcbd98520aa60.txt,256,320,25,25,0,0,4,16.0,23
train,547ef286ee5f4e5dce533e982e6992ada67b7d727fdd3cfa6576f24c631a7ae6,/home/user/cellseg-robustness-diagnostic/data/raw/dsb2018/stage1_train/547ef286ee5f4e5dce533e982e6992ada67b7d727fdd3cfa6576f24c631a7ae6/images/547ef286ee5f4e5dce533e982e6992ada67b7d727fdd3cfa6576f24c631a7ae6.png,results/supervised/yolo_fixed_budget/images/547ef286ee5f4e5dce533e982e6992ada67b7d727fdd3cfa6576f24c631a7ae6.png,results/supervised/yolo_fixed_budget/labels/547ef286ee5f4e5dce533e982e6992ada67b7d727fdd3cfa6576f24c631a7ae6.txt,520,696,257,257,0,0,4,12.0,24
